latitud,longitud,población,ciudad
4.6,-74.0833333,7878783,Bogotá
6.2913889,-75.5361111,2464322,Medellín
3.4372222,-76.5225,2369821,Cali
10.9638889,-74.7963889,1218475,Barranquilla
10.3997222,-75.5144444,1001755,Cartagena
7.8833333,-72.5052778,650011,Cúcuta
10.9172222,-74.7666667,615492,Soledad
4.4388889,-75.2322222,553524,Ibagué
7.1297222,-73.1258333,527913,Bucaramanga
4.5872222,-74.2213889,511262,Soacha
4.1533333,-73.635,484471,Villavicencio
11.2472222,-74.2016667,483865,Santa Marta
4.8133333,-75.6961111,469612,Pereira
6.3388889,-75.5622222,455865,Bello
10.4769444,-73.2505556,453215,Valledupar
8.7575,-75.89,441301,Montería
2.4108333,-78.2427778,439993,Pasto
3.8933333,-77.0697222,399764,Buenaventura
5.07,-75.5205556,396075,Manizales
2.9305556,-75.3302778,342117,Neiva
3.5394444,-76.3036111,304735,Palmira
4.5338889,-75.6811111,296683,Armenia
2.45,-76.6166667,277540,Popayán
9.3047222,-75.3977778,275207,Sincelejo
6.1719444,-75.6113889,267851,Itaguí
7.0647222,-73.0897222,265407,Floridablanca
11.5444444,-72.9072222,259492,Riohacha
6.1730556,-75.5638889,222455,Envigado
4.0866667,-76.2,211588,Tuluá