Municipio,Departamento,Primer aval 2011,Primer aval 2015
Leticia,Amazonas,CR,CD
Puerto Nariño,Amazonas,PC,CD
Murindó,Antioquia,Afrovides,ASI
San Andrés de Cuerquia,Antioquia,Afrovides,PC
El Bagre,Antioquia,Aico,OC
San Carlos,Antioquia,Aico,OC
Vigía del Fuerte,Antioquia,Aico,PL
Carmen de Viboral,Antioquia,ASI,ASI
San José de la Montaña,Antioquia,ASI,ASI
Caramanta,Antioquia,ASI,AV
Ciudad Bolívar,Antioquia,ASI,CD
Rionegro,Antioquia,ASI,CD
Campamento,Antioquia,ASI,PL
Necoclí,Antioquia,ASI,PL
Yondó,Antioquia,AV,OC
Angostura,Antioquia,AV,PC
Bello,Antioquia,PC,PC
Anzá,Antioquia,CR,CD
Concepción,Antioquia,CR,CD
Liborina,Antioquia,CR,CD
San Rafael,Antioquia,CR,CD
Santa Rosa de Osos,Antioquia,CR,CD
Puerto Nare,Antioquia,CR,CR
Nechí,Antioquia,CR,OC
Betulia,Antioquia,CR,PC
Caucasia,Antioquia,CR,PC
Gómez Plata,Antioquia,CR,PC
Granada,Antioquia,CR,PC
Jericó,Antioquia,CR,PC
San Francisco,Antioquia,CR,PC
La Pintada,Antioquia,CR,PL
Tarazá,Antioquia,CR,PL
Jardín,Antioquia,Firmas,PC
Turbo,Antioquia,Firmas,Firmas
Segovia,Antioquia,Firmas,PC
Guatapé,Antioquia,Firmas,CD
Copacabana,Antioquia,MIO,U
La Ceja del Tambo,Antioquia,MIO,U
Apartadó,Antioquia,Firmas,U
Donmatías,Antioquia,PC,ASI
Argelia,Antioquia,PC,AV
Nariño,Antioquia,PC,CD
Puerto Triunfo,Antioquia,PC,CD
Sabaneta,Antioquia,PC,CD
Sonsón,Antioquia,PC,CD
Valparaíso,Antioquia,PC,CD
Cisneros,Antioquia,PC,CR
Cocorná,Antioquia,PC,CR
Montebello,Antioquia,PC,CR
San Luis,Antioquia,PC,OC
Cañasgordas,Antioquia,PC,PC
Hispania,Antioquia,PC,PC
Itagüí,Antioquia,PC,PC
Sabanalarga,Antioquia,PC,PC
San Pedro de los Milagros,Antioquia,PC,PC
San Roque,Antioquia,PC,PC
Támesis,Antioquia,PC,PC
Toledo,Antioquia,PC,PC
Uramita,Antioquia,PC,PC
Armenia,Antioquia,PC,PL
Fredonia,Antioquia,PC,PL
Giraldo,Antioquia,PC,PL
Ituango,Antioquia,PC,PL
Vegachí,Antioquia,PC,PL
Alejandría,Antioquia,PC,U
Andes,Antioquia,PC,U
Santuario,Antioquia,PC,U
Abriaquí,Antioquia,PIN,PC
Heliconia,Antioquia,PIN,PL
Carepa,Antioquia,PIN,U
Yarumal,Antioquia,PL,ASI
Caicedo,Antioquia,PL,CD
Concordia,Antioquia,PL,CD
Titiribí,Antioquia,PL,CD
Peque,Antioquia,PL,CR
Tarso,Antioquia,PL,CR
Zaragoza,Antioquia,PL,CR
Medellín,Antioquia,PL,Firmas
Carolina,Antioquia,PL,Mais
La Unión,Antioquia,PL,OC
Betania,Antioquia,PL,PC
Buriticá,Antioquia,PL,PC
Frontino,Antioquia,PL,PC
Guadalupe,Antioquia,PL,PC
Valdivia,Antioquia,PL,PC
Abejorral,Antioquia,PL,PL
Anorí,Antioquia,PL,PL
Belmira,Antioquia,PL,PL
Dabeiba,Antioquia,PL,PL
Ebéjico,Antioquia,PL,PL
Envigado,Antioquia,PL,PL
Barbosa,Antioquia,PL,U
Cáceres,Antioquia,PL,U
Pueblorrico,Antioquia,PL,U
San Juan de Urabá,Antioquia,PL,U
Caracolí,Antioquia,U,ASI
Yolombó,Antioquia,U,AV
Amagá,Antioquia,U,CD
Marinilla,Antioquia,U,CD
San Vicente,Antioquia,U,CD
Amalfi,Antioquia,U,CR
Arboletes,Antioquia,U,CR
Mutatá,Antioquia,U,CR
Olaya,Antioquia,U,CR
Puerto Berrío,Antioquia,U,CR
Remedios,Antioquia,U,CR
Angelopolis,Antioquia,U,PC
Entrerríos,Antioquia,U,PC
Guarne,Antioquia,U,PC
Santo Domingo,Antioquia,U,PC
Yalí,Antioquia,U,PC
Antioquia,Antioquia,U,PL
Briceño,Antioquia,U,PL
Caldas,Antioquia,U,PL
Peñol,Antioquia,U,PL
Salgar,Antioquia,U,PL
San Jaronimo,Antioquia,U,PL
San Pedro de Urabá,Antioquia,U,PL
Santa Bárbara,Antioquia,U,PL
Sopetrán,Antioquia,U,PL
Venecia,Antioquia,U,PL
Chigorodó,Antioquia,U,U
Girardota,Antioquia,U,U
La Estrella,Antioquia,U,U
Maceo,Antioquia,U,U
Retiro,Antioquia,U,U
Urrao,Antioquia,U,U
Puerto Rondón,Arauca,ASI,ASI
Cravo Norte,Arauca,CR,PL
Tame,Arauca,MIO,PL
Arauquita,Arauca,PDA,AV
Fortul,Arauca,PDA,PDA
Saravena,Arauca,U,CD
Arauca,Arauca,U,CR
Repelón,Atlántico,Aico,CR
Barranquilla,Atlántico,CR,CR
Galapa,Atlántico,CR,CR
Malambo,Atlántico,CR,CR
Polonuevo,Atlántico,CR,CR
Ponedera,Atlántico,CR,CR
Manatí,Atlántico,CR,PC
Piojó,Atlántico,CR,PC
Baranoa,Atlántico,CR,U
Campo de la Cruz,Atlántico,CR,U
Candelaria,Atlántico,CR,U
Puerto Colombia,Atlántico,CR,U
Santo Tomás,Atlántico,CR,U
Sabanalarga,Atlántico,PC,PL
Palmar de Varela,Atlántico,PC,U
Tubará,Atlántico,PC,U
Sabanagrande,Atlántico,PL,CR
Soledad,Atlántico,PL,CR
Usiacurí,Atlántico,PL,U
Luruaco,Atlántico,U,CR
Juan de Acosta,Atlántico,U,PC
Santa Lucía,Atlántico,U,PC
Suan,Atlántico,U,U
Zambrano,Bolívar,Afrovides,CR
Arjona,Bolívar,Aico,CR
Turbaco,Bolívar,ASI,CR
Cartagena,Bolívar,ASI,Firmas
Magangué,Bolívar,AV,CR
Villanueva,Bolívar,AV,OC
Mompos,Bolívar,AV,U
Córdoba,Bolívar,CR,CR
Mahates,Bolívar,CR,CR
Santa Catalina,Bolívar,CR,CR
Simití,Bolívar,CR,CR
El Guamo,Bolívar,CR,PL
Morales,Bolívar,CR,PL
San Estanislao,Bolívar,CR,U
San Pablo,Bolívar,CR,U
María La Baja,Bolívar,MIO,U
Calamar,Bolívar,PC,CR
El Peñón,Bolívar,PC,PC
Soplaviento,Bolívar,PC,PC
Cantagallo,Bolívar,PC,PL
Cicuco,Bolívar,PC,PL
Turbaná,Bolívar,PC,PL
Nororsí,Bolívar,PC,U
Santa Rosa del Sur,Bolívar,PC,U
Barranco de Loba,Bolívar,PIN,CR
Arenal,Bolívar,PIN,OC
San Fernando,Bolívar,PIN,OC
Margarita,Bolívar,PIN,PL
Montecristo,Bolívar,PIN,PL
Santa Rosa,Bolívar,PIN,PL
San Cristóbal,Bolívar,PIN,U
Regidor,Bolívar,PL,OC
San Jacinto,Bolívar,PL,PL
Altos del Rosario,Bolívar,PL,U
San Jacinto del Cauca,Bolívar,PL,U
Hatillo de Loba,Bolívar,U,CR
San Juan Nepomuceno,Bolívar,U,CR
Carmen de Bolívar,Bolívar,U,Mais
Talaiga Nuevo,Bolívar,U,PC
Achí,Bolívar,U,PL
Pinillos,Bolívar,U,PL
Río Viejo,Bolívar,U,PL
Arroyohondo,Bolívar,U,U
Clemencia,Bolívar,U,U
San Martín de Loba,Bolívar,U,U
Tiquisio,Bolívar,U,U
Chinavita,Boyacá,ASI,CR
Sáchica,Boyacá,ASI,CR
Santana,Boyacá,ASI,CR
Sutamarchán,Boyacá,ASI,CR
Tunja,Boyacá,AV,CR
Quipama,Boyacá,AV,CD
Chivor,Boyacá,AV,CR
Coper,Boyacá,AV,CR
Maripi,Boyacá,AV,CR
Nobsa,Boyacá,AV,CR
Sora,Boyacá,AV,CR
Pisba,Boyacá,AV,OC
Aquitania,Boyacá,AV,PC
Chivata,Boyacá,AV,PC
Floresta,Boyacá,AV,PC
Paya,Boyacá,AV,PC
Siachoque,Boyacá,AV,PC
Berbeo,Boyacá,AV,PL
Soracá,Boyacá,AV,PL
Covarachia,Boyacá,AV,U
La Uvita,Boyacá,AV,U
Samacá,Boyacá,AV,U
San Eduardo,Boyacá,AV,U
El Espino,Boyacá,CR,ASI
Guateque,Boyacá,CR,AV
Labranzagrande,Boyacá,CR,CD
Monguí,Boyacá,CR,CD
Mongua,Boyacá,CR,CR
Ráquira,Boyacá,CR,CR
Sotaquirá,Boyacá,CR,CR
Briceño,Boyacá,CR,PC
Busbanza,Boyacá,CR,PC
Buenavista,Boyacá,CR,U
Chiquinquirá,Boyacá,CR,U
Corrales,Boyacá,CR,U
Garagoa,Boyacá,CR,U
Oicata,Boyacá,Firmas,CR
Topaga,Boyacá,Firmas,PC
Tota,Boyacá,Firmas,U
Villa de Leiva,Boyacá,Firmas,U
Ventaquemada,Boyacá,Firmas,U
Combita,Boyacá,Firmas,AV
Pesca,Boyacá,PC,ASI
Saboya,Boyacá,PC,AV
Chita,Boyacá,PC,CD
Otanche,Boyacá,PC,CD
Pachavita,Boyacá,PC,CD
Umbita,Boyacá,PC,CD
Gameza,Boyacá,PC,CR
Muzo,Boyacá,PC,CR
Somondoco,Boyacá,PC,CR
Sutatenza,Boyacá,PC,CR
Tibasosa,Boyacá,PC,CR
Viracacha,Boyacá,PC,CR
Tinjacá,Boyacá,PC,En blanco
Santa Sofía,Boyacá,PC,PC
Sativasur,Boyacá,PC,PC
Susacon,Boyacá,PC,PC
Tenza,Boyacá,PC,PC
Paz del Río,Boyacá,PC,PL
San Miguel de Sema,Boyacá,PC,PL
Socha,Boyacá,PC,PL
Cerinza,Boyacá,PC,U
Ciénega,Boyacá,PC,U
Firavitoba,Boyacá,PC,U
Guayata,Boyacá,PC,U
Jericó,Boyacá,PC,U
Moniquirá,Boyacá,PC,U
Santa Rosa de Viterbo,Boyacá,PC,U
Motavita,Boyacá,PIN,AV
Guacamayas,Boyacá,PIN,CD
Tutazá,Boyacá,PIN,U
Cubara,Boyacá,PL,ASI
Chiscas,Boyacá,PL,CD
Caldas,Boyacá,PL,CR
Tibaná,Boyacá,PL,CR
Belén,Boyacá,PL,PC
Duitama,Boyacá,PL,PC
El Cocuy,Boyacá,PL,PC
Toguí,Boyacá,PL,PC
Chíquiza,Boyacá,PL,PL
Jenesano,Boyacá,PL,PL
Ramiriquí,Boyacá,PL,PL
Socota,Boyacá,PL,PL
Tuta,Boyacá,PL,PL
Miraflores,Boyacá,PL,U
Sogamoso,Boyacá,PL,U
Tipacoque,Boyacá,PL,U
Santa Maria,Boyacá,U,AV
Tasco,Boyacá,U,AV
Paipa,Boyacá,U,AV
Almeida,Boyacá,U,CD
Iza,Boyacá,U,CD
La Victoria,Boyacá,U,CD
Panqueba,Boyacá,U,CD
San Mateo,Boyacá,U,CD
Sativanorte,Boyacá,U,CD
Campohermoso,Boyacá,U,CR
Chitaraque,Boyacá,U,CR
Cucaita,Boyacá,U,CR
Guican,Boyacá,U,CR
Pauna,Boyacá,U,CR
Zetaquirá,Boyacá,U,CR
Boavita,Boyacá,U,PC
Macanal,Boyacá,U,PC
San Pablo de Borbur,Boyacá,U,PC
Turmequé,Boyacá,U,PDA
Arcabuco,Boyacá,U,PL
Boyacá,Boyacá,U,PL
Puerto Boyacá,Boyacá,U,PL
San José de Pare,Boyacá,U,PL
Toca,Boyacá,U,PL
Tununguá,Boyacá,U,PL
Beteitiva,Boyacá,U,U
Cuitiva,Boyacá,U,U
Gachantiva,Boyacá,U,U
La Capilla,Boyacá,U,U
Nuevo Colón,Boyacá,U,U
Páez,Boyacá,U,U
Pajarito,Boyacá,U,U
Rondón,Boyacá,U,U
San Luis de Gaceno,Boyacá,U,U
Soata,Boyacá,U,U
La Dorada,Caldas,CR,CR
La Merced,Caldas,CR,PL
Salamina,Caldas,Firmas,PL
Samana,Caldas,Firmas,Firmas
Aranzazu,Caldas,Firmas,PC
Marmato,Caldas,Firmas,U
Filadelfia,Caldas,MIO,U
Marquetalia,Caldas,PC,CD
Marulanda,Caldas,PC,CD
Pensilvania,Caldas,PC,CD
Anserma,Caldas,PC,PC
San Jose,Caldas,PC,PC
Manizales,Caldas,PC,PL
Aguadas,Caldas,PC,U
Belalcazar,Caldas,PC,U
Chinchiná,Caldas,PC,U
Manzanares,Caldas,PC,U
Neira,Caldas,PC,U
Viterbo,Caldas,PC,U
Riosucio,Caldas,PDA,Mais
Supía,Caldas,PL,PDA
Victoria,Caldas,U,CR
Norcasia,Caldas,U,PL
Pacora,Caldas,U,PL
Palestina,Caldas,U,U
Risaralda,Caldas,U,U
Villamaría,Caldas,U,U
Solano,Caquetá,ASI,Mais
Curillo,Caquetá,ASI,U
Belén Andaquies,Caquetá,AV,PC
San José de Fragua,Caquetá,Firmas,CD
El Paujil,Caquetá,MIRA,CR
Cartagena del Chaira,Caquetá,PC,ASI
Milán,Caquetá,PC,PL
San  Vicente del Caguan,Caquetá,PDA,CR
La Montañita,Caquetá,PDA,PC
El Doncello,Caquetá,PL,CR
Puerto Rico,Caquetá,PL,CR
Solita,Caquetá,PL,PC
Valparaíso,Caquetá,PL,PC
Morelia,Caquetá,U,ASI
Florencia,Caquetá,U,CD
Albania,Caquetá,U,PC
Recetor,Casanare,Afrovides,AV
Maní,Casanare,Afrovides,CR
Orocue,Casanare,Afrovides,OC
Hato Corozal,Casanare,Afrovides,PL
La Salina,Casanare,Afrovides,PL
Tamara,Casanare,Afrovides,U
Pore,Casanare,AV,OC
Monterrey,Casanare,AV,PL
Sabanalarga,Casanare,CR,CR
Aguazul,Casanare,CR,U
Nunchia,Casanare,PIN,CR
Chameza,Casanare,PL,CR
Trinidad,Casanare,PL,CR
Yopal,Casanare,PL,Firmas
Villanueva,Casanare,PL,OC
Sacama,Casanare,PL,PC
San Luis de Palenque,Casanare,PL,PL
Paz de Ariporo,Casanare,PL,U
Tauramena,Casanare,U,CR
Totoro,Cauca,Aico,ASI
Argelia,Cauca,ASI,Aico
Páez,Cauca,ASI,ASI
Silvia,Cauca,ASI,ASI
Sucre,Cauca,ASI,AV
Buenos Aires,Cauca,ASI,CR
Jambaló,Cauca,ASI,Mais
Toribio,Cauca,ASI,Mais
La Vega,Cauca,ASI,PC
Caloto,Cauca,ASI,PL
Patia (El Bordo),Cauca,ASI,PL
Piamonte,Cauca,AV,U
Puerto Tejada,Cauca,AV,U
Almaguer,Cauca,CR,ASI
Inza,Cauca,CR,ASI
Purace,Cauca,CR,CR
Florencia,Cauca,CR,PL
Morales,Cauca,CR,PL
Santa Rosa,Cauca,CR,U
Villa Rica,Cauca,Firmas,PL
Rosas,Cauca,Firmas,U
Timbiquí,Cauca,MIO,Mais
Popayán,Cauca,PC,ASI
Balboa,Cauca,PL,CR
Cajibio,Cauca,PL,PC
López,Cauca,PL,PC
Piendamo,Cauca,PL,PC
Bolívar,Cauca,PL,PL
Caldono,Cauca,PL,PL
Corinto,Cauca,PL,PL
El Tambo,Cauca,PL,PL
San Sebastián,Cauca,PL,PL
Suárez,Cauca,PL,PL
Guapi,Cauca,PL,U
Guachene,Cauca,PL,PL
Timbío,Cauca,U,Aico
Sotara,Cauca,U,AV
Padilla,Cauca,U,CR
Miranda,Cauca,U,PL
La Sierra,Cauca,U,U
Mercaderes,Cauca,U,U
Santander de Quilichao,Cauca,U,U
Chimichagua,Cesar,ASI,PC
Astrea,Cesar,CR,ASI
Aguachica,Cesar,CR,CR
Gamarra,Cesar,CR,OC
González,Cesar,CR,PC
La Paz,Cesar,CR,PC
Bosconia,Cesar,CR,PL
Chiriguaná,Cesar,CR,U
Tamalameque,Cesar,CR,U
Valledupar,Cesar,Firmas,Firmas
San Alberto,Cesar,PC,CR
Río De Oro,Cesar,PC,PC
Pueblo Bello,Cesar,PC,U
San Martín,Cesar,PIN,PC
La Jagua Ibirico,Cesar,PIN,U
San Diego,Cesar,PL,CR
Pailitas,Cesar,PL,Mais
Manaure Balcón Del Cesar,Cesar,PL,OC
El Copey,Cesar,PL,PL
Pelaya,Cesar,PL,U
El Paso,Cesar,U,AV
Agustín Codazzi,Cesar,U,CR
Curumaní,Cesar,U,OC
La Gloria,Cesar,U,OC
Becerril,Cesar,U,PC
Riosucio,Chocó,Afrovides,U
El litoral del san juan,Chocó,ASI,ASI
Alto Baudó (pie de pato),Chocó,AV,U
Atrato,Chocó,CR,CR
Quibdo,Chocó,CR,CR
Unguia,Chocó,CR,OC
Certegui,Chocó,CR,PL
Lloro,Chocó,CR,PL
Rio iro,Chocó,CR,PL
Jurado,Chocó,CR,U
Medio san juan,Chocó,MIO,AV
San jose del palmar,Chocó,PC,ASI
Sipi,Chocó,PC,PL
Acandi,Chocó,PL,CR
Bahia solano (mutis),Chocó,PL,CR
Carmen del darien,Chocó,PL,CR
Condoto,Chocó,PL,CR
Medio baudo (boca de pepe),Chocó,PL,CR
Novita,Chocó,PL,PC
Bagado,Chocó,PL,PL
Istmina,Chocó,PL,PL
Medio atrato,Chocó,PL,PL
El canton de san pablo,Chocó,PL,U
El carmen,Chocó,PL,U
Rio quito,Chocó,PL,U
Bajo baudo (pizarro),Chocó,U,ASI
Unión panamericana,Chocó,U,PC
Bojaya (bellavista),Chocó,U,U
Nuqui,Chocó,U,U
Tado,Chocó,U,U
Cienaga De Oro,Córdoba,Aico,CR
Puerto Libertador,Córdoba,ASI,CR
Chima,Córdoba,ASI,PC
San josé de Uré,Córdoba,ASI,U
Sahagún,Córdoba,Firmas,U
Purísima,Córdoba,MIO,PC
Tierralta,Córdoba,MIO,U
San Carlos,Córdoba,PC,Aico
Planeta Rica,Córdoba,PC,PC
Montería,Córdoba,PC,PL
Chinú,Córdoba,PL,CR
Los Córdobas,Córdoba,PL,Mais
La Apartada,Córdoba,PL,OC
Puerto Escondido,Córdoba,PL,OC
Ayapel,Córdoba,PL,U
Canalete,Córdoba,PL,U
Cotorra,Córdoba,PL,U
San Antero,Córdoba,PL,U
San Andrés Sotavento,Córdoba,U,Aico
Moñitos,Córdoba,U,CR
Cereté,Córdoba,U,Mais
Buenavista,Córdoba,U,OC
Tuchín,Córdoba,U,OC
Montelíbano,Córdoba,U,PC
Pueblo Nuevo,Córdoba,U,PC
Valencia,Córdoba,U,PC
Lorica,Córdoba,U,U
Momil,Córdoba,U,U
San Bernardo Viento,Córdoba,U,U
San Pelayo,Córdoba,U,U
Chia,Cundinamarca,Aico,AV
Bituima,Cundinamarca,ASI,CR
Girardot,Cundinamarca,ASI,CR
Arbelaez,Cundinamarca,ASI,PC
Villapinzón,Cundinamarca,ASI,PC
Gachalá,Cundinamarca,ASI,PL
Alban,Cundinamarca,AV,CD
Choachí,Cundinamarca,AV,CR
Une,Cundinamarca,AV,CR
Ubalá,Cundinamarca,AV,PC
El Rosal,Cundinamarca,AV,PL
Sopo,Cundinamarca,AV,U
Guachetá,Cundinamarca,CR,AV
Caqueza,Cundinamarca,CR,CD
La Palma,Cundinamarca,CR,CD
Sutatausa,Cundinamarca,CR,CD
Beltrán,Cundinamarca,CR,CR
San Cayetano,Cundinamarca,CR,CR
Tena,Cundinamarca,CR,CR
Caparrapí,Cundinamarca,CR,OC
Fúquene,Cundinamarca,CR,OC
La Mesa,Cundinamarca,CR,OC
Paratebueno,Cundinamarca,CR,OC
Guasca,Cundinamarca,CR,PC
Gutiérrez,Cundinamarca,CR,PC
Lenguazaque,Cundinamarca,CR,PC
Nocaima,Cundinamarca,CR,PC
Tabio,Cundinamarca,CR,PC
Apulo,Cundinamarca,CR,PL
Zipacón,Cundinamarca,CR,PL
Pulí,Cundinamarca,CR,U
San Bernardo,Cundinamarca,CR,U
Tausa,Cundinamarca,CR,U
Cota,Cundinamarca,Firmas,OC
Cogua,Cundinamarca,Firmas,U
Funza,Cundinamarca,Firmas,CR
Gachancipá,Cundinamarca,Firmas,CR
Nemocón,Cundinamarca,Firmas,PL
Guayabetal,Cundinamarca,Firmas,U
Machetá,Cundinamarca,Firmas,CR
Gama,Cundinamarca,PC,CD
Fosca,Cundinamarca,PC,CR
Junín,Cundinamarca,PC,CR
La Calera,Cundinamarca,PC,CR
Venecia,Cundinamarca,PC,OC
Chocontá,Cundinamarca,PC,PC
Cucunubá,Cundinamarca,PC,PC
Pandi,Cundinamarca,PC,PC
Quipile,Cundinamarca,PC,PC
Sasaima,Cundinamarca,PC,PC
Sibaté,Cundinamarca,PC,PC
Simijaca,Cundinamarca,PC,PC
Supatá,Cundinamarca,PC,PC
Utica,Cundinamarca,PC,PC
