country,sport
United States of America,American Football
Australia,Australian Football
Cuba,Baseball
Dominican Republic,Baseball
Venezuela,Baseball
Argentina,Basketball
China,Basketball
France,Basketball
Hong Kong,Basketball
Israel,Basketball
Italy,Basketball
Latvia,Basketball
Lithuania,Basketball
Philippines,Basketball
Puerto Rico,Basketball
South Korea,Basketball
Spain,Basketball
Taiwan,Basketball
Turkey,Basketball
Hungary,Boxing
Luxembourg,Boxing
Nicaragua,Boxing
Antigua and Barbuda,Cricket
Botswana,Cricket
India,Cricket
Pakistan,Cricket
Sri Lanka,Cricket
Estonia,Cue Sports
El Salvador,Cycling
Republic of the Congo,Cycling
Kazakhstan,Football Soccer
KenyaKenya,Football Soccer
KuwaitKuwait,Football Soccer
Albania,Football Soccer
Algeria,Football Soccer
Austria,Football Soccer
Azerbaijan,Football Soccer
Bangladesh,Football Soccer
Belgium,Football Soccer
Brazil,Football Soccer
Brunei,Football Soccer
Bulgaria,Football Soccer
Burkina Faso,Football Soccer
Chile,Football Soccer
Colombia,Football Soccer
Ivory Coast,Football Soccer
Denmark,Football Soccer
Egypt,Football Soccer
Ethiopia,Football Soccer
Germany,Football Soccer
Ghana,Football Soccer
Gibraltar,Football Soccer
Greece,Football Soccer
Indonesia,Football Soccer
Iran,Football Soccer
Iraq,Football Soccer
Ireland,Football Soccer
Libya,Football Soccer
Malaysia,Football Soccer
Mauritius,Football Soccer
Mexico,Football Soccer
Morocco,Football Soccer
Myanmar,Football Soccer
Namibia,Football Soccer
Netherlands,Football Soccer
Nigeria,Football Soccer
Peru,Football Soccer
Poland,Football Soccer
Portugal,Football Soccer
Qatar,Football Soccer
Romania,Football Soccer
Russian Federation,Football Soccer
Saudi Arabia,Football Soccer
Singapore,Football Soccer
Slovakia,Football Soccer
South Africa,Football Soccer
Sudan,Football Soccer
Sweden,Football Soccer
Syrian Arab Republic,Football Soccer
Tanzania,Football Soccer
Thailand,Football Soccer
Uganda,Football Soccer
Ukraine,Football Soccer
United Arab Emirates,Football Soccer
United Kingdom,Football Soccer
Uzbekistan,Football Soccer
Belarus,Ice Hockey
Canada,Ice Hockey
Czech Republic,Ice Hockey
Finland,Ice Hockey
Norway,Ice Hockey
Switzerland,Ice Hockey
Guatemala,Martial Arts
Slovenia,Martial Arts
Mongolia,Motor Sports
New Zealand,Rugby
Uruguay,Skateboarding
Armenia,Skating
Macedonia, Team Handball
Bahamas,Tennis
Bosnia and Herzegovina,Tennis
Croatia,Tennis
Nepal,Tennis
Paraguay,Tennis
Republic of Vietnam,Tennis
Costa Rica,Water Sports
Honduras,Water Sports
Martinique,Water Sports
Panama,Water Sports
Seychelles,Water Sports
Japan,Football Soccer
Bahrain,Wrestling
Democratic Republic of the Congo,Wrestling
Ecuador,Wrestling
Lebanon,Wrestling
Oman,Wrestling
Trinidad and Tobago,Wrestling