hc-group,hc-middle-x,hc-middle-y,hc-key,hc-a2,labelrank,hasc,alt-name,woe-id,subregion,fips,postal-code,name,country,type-en,region,longitude,woe-name,latitude,woe-label,type,FID
admin1,0.55,0.57,ch-fr,FR,7,CH.FR,Freiburg|Friburg|Friburgo,2347088,,SZ06,FR,Fribourg,Switzerland,Canton,,6.85219,Fribourg,46.8411,"Canton of Fribourg, CH, Switzerland",Canton|Kanton|Chantun,CH.FR
admin1,0.59,0.47,ch-ne,NE,9,CH.NE,Neuenburg,2347094,,SZ12,NE,Neuchâtel,Switzerland,Canton,,6.76076,Neuchâtel,46.9893,"Canton of Neuchatel, CH, Switzerland",Canton|Kanton|Chantun,CH.NE
admin1,0.64,0.41,ch-ag,AG,9,CH.AG,Argovia|Arg¢via|Argovie,2347083,,SZ01,AG,Aargau,Switzerland,Canton,,8.199949999999999,Aargau,47.4176,"Canton of Aargau, CH, Switzerland",Canton|Kanton|Chantun,CH.AG
admin1,0.43,0.39,ch-lu,LU,9,CH.LU,Lucerna|Luzern,2347093,,SZ11,LU,Lucerne,Switzerland,Canton,,8.172190000000001,Lucerne,47.096,"Canton of Lucerne, CH, Switzerland",Canton|Kanton|Chantun,CH.LU
admin1,0.51,0.34,ch-7,NI,9,CH.NW,Nidvaldo|Nidwald|Unterwalden-le-Bas|Nidwaldo,2347095,,SZ13,,Nidwalden,Switzerland,Canton,,8.40344,Nidwalden,46.934,"Canton of Nidwalden, CH, Switzerland",Canton|Kanton|Chantun,CH.7
admin1,0.47,0.61,ch-vs,VS,9,CH.VS,Vallais|Vallese|Wallis,2347104,,SZ22,VS,Valais,Switzerland,Canton,,7.61347,Valais,46.2023,"Canton of Valais, CH, Switzerland",Canton|Kanton|Chantun,CH.VS
admin1,0.6,0.61,ch-sg,SG,9,CH.SG,Saint-Gall|San Gallo|Son Gagl,2347097,,SZ15,SG,Sankt Gallen,Switzerland,Canton,,9.212669999999999,Sankt Gallen,47.1524,"Canton of St. Gallen, CH, Switzerland",Canton|Kanton|Chantun,CH.SG
admin1,0.18,0.53,ch-ar,AR,9,CH.AR,Appenzell Ausser-Rhoden|Appenzell Outer Rhodes|Appenzell dadens|Appenzell Rhodes Extérieures|Appenzello Esterno,2347084,,SZ02,AR,Appenzell Ausserrhoden,Switzerland,Canton,,9.397259999999999,Appenzell Ausserrhoden,47.3911,"Canton of Appenzell Outer-Rhodes, CH, Switzerland",Canton|Kanton|Chantun,CH.AR
admin1,0.51,0.37,ch-ti,TI,9,CH.TI,Tesino|Tessin,2347102,,SZ20,TI,Ticino,Switzerland,Canton,,8.790190000000001,Ticino,46.3604,"Canton of Ticino, CH, Switzerland",Canton|Kanton|Chantun,CH.TI
admin1,0.51,0.44,ch-gl,GL,9,CH.GL,Glaris|Glarona|Glaruna,2347090,,SZ08,GL,Glarus,Switzerland,Canton,,9.056509999999999,Glarus,47.0096,"Canton of Glarus, CH, Switzerland",Canton|Kanton|Chantun,CH.GL
admin1,0.49,0.42,ch-gr,GR,9,CH.GR,Graubünden|Grigioni|Grischun|Grisons,2347091,,SZ09,GR,Graubünden,Switzerland,Canton,,9.559530000000001,Graubünden,46.6729,"Canton of Graubunden, CH, Switzerland",Canton|Kanton|Chantun,CH.GR
admin1,0.68,0.44,ch-sz,SZ,9,CH.SZ,,2347099,,SZ17,SZ,Schwyz,Switzerland,Canton,,8.68573,Schwyz,47.0455,"Canton of Schwyz, CH, Switzerland",Canton|Kanton|Chantun,CH.SZ
admin1,0.48,0.33,ch-tg,TG,9,CH.TG,Thurgovie|Turgovia|Turg¢via,2347101,,SZ19,TG,Thurgau,Switzerland,Canton,,9.14593,Thurgau,47.5858,"Canton of Thurgau, CH, Switzerland",Canton|Kanton|Chantun,CH.TG
admin1,0.28,0.39,ch-sh,SH,9,CH.SH,Schaffhouse|Schaffusa|Sciaffusa,2347098,,SZ16,SH,Schaffhausen,Switzerland,Canton,,8.623200000000001,Schaffhausen,47.7205,"Canton of Schaffhausen, CH, Switzerland",Canton|Kanton|Chantun,CH.SH
admin1,0.41,0.5,ch-ur,UR,9,CH.UR,,2347103,,SZ21,UR,Uri,Switzerland,Canton,,8.633010000000001,Uri,46.809,"Canton of Uri, CH, Switzerland",Canton|Kanton|Chantun,CH.UR
admin1,0.47,0.51,ch-zh,ZH,7,CH.ZH,Turitg|Zurigo|Zürih|Zurique,2347107,,SZ25,ZH,Zürich,Switzerland,Canton,,8.6609,Zürich,47.4297,"Canton of Zurich, CH, Switzerland",Canton|Kanton|Chantun,CH.ZH
admin1,0.41,0.54,ch-zg,ZG,9,CH.ZG,Zoug|Zugo,2347106,,SZ24,ZG,Zug,Switzerland,Canton,,8.547470000000001,Zug,47.1578,"Canton of Zug, CH, Switzerland",Canton|Kanton|Chantun,CH.ZG
admin1,0.48,0.34,ch-vd,VD,9,CH.VD,Vad|Waadt|Waadtland,2347105,,SZ06,VD,Vaud,Switzerland,Canton,,6.5118,Vaud,46.6204,"Canton of Vaud, CH, Switzerland",Canton|Kanton|Chantun,CH.VD
admin1,0.69,0.51,ch-3306,BL,9,CH.BS,,2347085,,SZ05,,Basel-Landschaft,Switzerland,Canton,,7.72662,Basel-Landschaft,47.5056,"Canton of Basel-Country, CH, Switzerland",Canton|Kanton|Chantun,CH.3306
admin1,0.48,0.55,ch-be,BE,7,CH.BE,Berna|Berne,2347087,,SZ05,BE,Bern,Switzerland,Canton,,7.65026,Bern,46.7988,"Canton of Berne, CH, Switzerland",Canton|Kanton|Chantun,CH.BE
admin1,0.71,0.17,ch-bs,BS,9,CH.BS,Bâle-Ville|Basel-City|Basel-Town|Basilea-Citad|Basilea Ciudad|Basilea città|Basiléia cidade,2347086,,SZ03,BS,Basel-Stadt,Switzerland,Canton,,7.5898,Basel-Stadt,47.5605,"Canton of Basel-City, CH, Switzerland",Canton|Kanton|Chantun,CH.BS
admin1,0.26,0.66,ch-so,SO,9,CH.,Solothurn,2347100,,SZ18,SO,Solothurn,Switzerland,Canton,,7.41999,Solothurn,47.4325,"Canton of Solothurn, CH, Switzerland",Canton|Kanton|Chantun,CH.SO
admin1,0.32,0.54,ch-nw,NW,9,CH.NW,Obvaldo|Obwald|Unterwalden-le-Haut|Obwaldo|Sursilvania,2347096,,SZ14,NW,Obwalden,Switzerland,Canton,,8.20594,Obwalden,46.8686,"Canton of Obwalden, CH, Switzerland",Canton|Kanton|Chantun,CH.NW
admin1,0.27,0.68,ch-ai,AI,9,CH.AI,Appenzell Inner-Rhoden|Appenzell Inner Rhodes|Appenzell dador|Appenzell Rhodes Intérieures|Appenzello Interno,2347092,,SZ10,AI,Appenzell Innerrhoden,Switzerland,Canton,,9.395479999999999,Appenzell Innerrhoden,47.3092,"Canton of Appenzell Inner-Rhodes, CH, Switzerland",Canton|Kanton|Chantun,CH.AI
admin1,0.41,0.68,ch-ge,GE,9,CH.GE,Cenevre|Genebra|Geneve|Geneva|Genevra|Genf|Ginebra|Ginevra,2347089,,SZ07,GE,Genève,Switzerland,Canton,,6.11764,Genève,46.237,"Canton of Geneva, CH, Switzerland",Canton|Kanton|Chantun,CH.GE
admin1,0.42,0.38,ch-ju,JU,9,CH.JU,Giura,2347108,,SZ26,JU,Jura,Switzerland,Canton,,7.19817,Jura,47.3636,"Canton of Jura, CH, Switzerland",Canton|Kanton|Chantun,CH.JU